trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	L_1	circle	8	0.4	1	3 	 2.5801966673983863 	 3 	 7.0	6.0	3.0	1	1	-1	-1	-999	0.0	-999	2.0087 	2.9714 	-999	-999	2.3274 	3.8078 	-999	-999	1.9374 	3.1515 	-999	-999	114
1	L_1	circle	4	0.2	-1	3 	 2.347091826915811 	 2 	 1.0	2.0	-999.0	0	-1	1	-1	0.0	-999	-999	1.5495 	3.0156 	-999	-999	2.2112 	2.7136 	-999	-999	2.1021 	3.3636 	-999	-999	129
2	L_1	circle	8	0.3	1	3 	 2.2886914567322414 	 3 	 5.0	5.0	0.0	1	1	-1	-1	-999	0.0	-999	2.0905 	2.8279 	-999	-999	2.2608 	2.8183 	-999	-999	2.2588 	3.0351 	-999	-999	101
3	L_1	circle	8	0.4	-1	3 	 2.263236145911102 	 2 	 1.0	1.0	-999.0	1	-1	1	-1	-999	0.0	-999	2.3869 	-999	-999	-999	2.4579 	-999	-999	-999	1.8557 	2.4424 	-999	-999	101
4	L_1	circle	4	0.2	1	3 	 2.468162731551869 	 3 	 1.0	3.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.1794 	3.3397 	-999	-999	1.6988 	2.82 	-999	-999	2.0873 	3.5605 	-999	-999	136
5	L_1	circle	8	0.4	1	0 	 2.169966708565822 	 2 	 0.0	1.0	3.0	2	1	-1	-1	-999	-999	3.0	1.6152 	2.137 	3.1482 	-999	2.181 	3.5203 	-999	-999	2.4776 	-999	-999	-999	95
6	L_1	circle	4	0.2	-1	3 	 2.762141179625215 	 3 	 3.0	2.0	2.0	2	-1	1	-1	-999	-999	0.0	2.4728 	3.2531 	-999	-999	1.6067 	2.7643 	3.4209 	-999	1.8115 	3.2354 	-999	-999	155
7	L_1	circle	4	0.5	1	3 	 2.1671561846497376 	 3 	 1.0	3.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.141 	2.6839 	-999	-999	1.9107 	3.3393 	-999	-999	2.1012 	3.5263 	-999	-999	116
8	L_1	circle	4	0.5	-1	3 	 2.0614582811415154 	 3 	 1.0	3.0	0.0	2	-1	1	-1	-999	-999	-0.0	2.2302 	-999	-999	-999	1.7236 	3.0574 	-999	-999	2.2492 	-999	-999	-999	111
9	L_1	circle	8	0.3	1	3 	 2.1455499017800976 	 2 	 2.0	4.0	-999.0	0	1	-1	-1	-0.0	-999	-999	1.7573 	2.6178 	-999	-999	2.28 	-999	-999	-999	2.4469 	-999	-999	-999	92
10	L_1	circle	8	0.3	-1	0 	 2.480891097194818 	 3 	 1.0	2.0	7.0	1	-1	1	-1	-999	1.0	-999	2.3109 	3.2696 	-999	-999	1.8481 	2.7389 	-999	-999	2.4371 	3.4704 	-999	-999	109
11	L_1	circle	8	0.3	-1	3 	 2.064785425889033 	 2 	 1.0	4.0	2.0	0	-1	1	-1	-0.0	-999	-999	2.3027 	-999	-999	-999	2.4554 	-999	-999	-999	2.3617 	-999	-999	-999	90
12	L_1	circle	4	0.5	1	3 	 2.401695127392118 	 2 	 -999.0	0.0	1.0	1	1	-1	-1	-999	0.0	-999	1.7515 	3.1407 	-999	-999	1.5859 	2.7074 	-999	-999	2.1877 	3.0564 	-999	-999	140
13	L_1	circle	4	0.5	-1	3 	 2.0835029677100065 	 2 	 1.0	0.0	0.0	0	-1	1	-1	-0.0	-999	-999	2.2643 	-999	-999	-999	1.5584 	3.0333 	-999	-999	1.7497 	2.4032 	-999	-999	118
14	L_1	circle	4	0.2	1	3 	 2.4288921169064177 	 2 	 3.0	0.0	-999.0	0	1	-1	-1	-0.0	-999	-999	1.5457 	2.9853 	-999	-999	1.6282 	2.9303 	-999	-999	2.1072 	2.7061 	-999	-999	137
15	L_1	circle	8	0.4	-1	3 	 2.0428375657020164 	 3 	 3.0	6.0	4.0	0	-1	1	-1	0.0	-999	-999	1.8022 	2.9776 	-999	-999	1.9163 	3.2187 	-999	-999	1.9449 	2.4475 	-999	-999	87
16	L_1	circle	8	0.4	1	3 	 2.315717049816465 	 2 	 2.0	2.0	3.0	1	1	-1	-1	-999	0.0	-999	2.4761 	-999	-999	-999	2.0477 	3.4663 	-999	-999	2.0442 	3.3365 	-999	-999	100
17	L_1	circle	8	0.4	1	3 	 2.7848164733764054 	 3 	 1.0	1.0	1.0	0	1	-1	-1	0.0	-999	-999	1.5434 	2.7215 	3.319 	-999	2.2644 	3.7531 	-999	-999	2.0025 	3.3762 	-999	-999	123
18	L_1	circle	4	0.2	1	3 	 2.3325911897982134 	 2 	 3.0	2.0	1.0	2	1	-1	-1	-999	-999	0.0	1.7595 	3.0682 	-999	-999	1.7409 	2.5527 	-999	-999	1.729 	3.0438 	-999	-999	127
19	L_1	circle	4	0.5	-1	0 	 2.704920584003647 	 3 	 0.0	3.0	0.0	2	-1	1	-1	-999	-999	-1.0	1.8026 	3.1423 	-999	-999	2.1423 	3.3035 	-999	-999	2.0097 	3.275 	-999	-999	149
20	L_1	circle	8	0.4	-1	3 	 2.3449488072173468 	 3 	 2.0	6.0	4.0	2	-1	1	-1	-999	-999	0.0	2.289 	2.8844 	-999	-999	1.7075 	2.5661 	-999	-999	1.7637 	2.9967 	-999	-999	100
21	L_1	circle	4	0.5	-1	0 	 2.3395780690713064 	 2 	 1.0	1.0	3.0	2	-1	1	-1	-999	-999	1.0	1.7967 	2.7922 	-999	-999	2.3229 	2.8402 	-999	-999	1.9865 	2.887 	-999	-999	133
22	L_1	circle	8	0.3	-1	3 	 2.4743025528356233 	 3 	 3.0	4.0	3.0	2	-1	1	-1	-999	-999	0.0	2.0844 	2.5985 	-999	-999	1.5588 	2.932 	-999	-999	2.1181 	2.6438 	-999	-999	100
23	L_1	circle	8	0.4	-1	3 	 2.4190943509450897 	 2 	 7.0	1.0	3.0	0	-1	1	-1	-0.0	-999	-999	1.5681 	2.1403 	3.574 	-999	1.711 	2.6844 	-999	-999	1.9126 	3.3712 	-999	-999	105
24	L_1	circle	4	0.2	-1	0 	 2.609486741699221 	 2 	 0.0	2.0	3.0	2	-1	1	-1	-999	-999	1.0	2.3273 	3.4738 	-999	-999	2.2428 	3.2601 	-999	-999	1.5078 	2.6152 	4.1104 	-999	150
25	L_1	circle	4	0.2	-1	3 	 2.1231800334511903 	 3 	 3.0	3.0	1.0	0	-1	1	-1	0.0	-999	-999	1.9815 	3.0268 	-999	-999	1.6696 	2.5142 	-999	-999	2.3962 	-999	-999	-999	121
26	L_1	circle	4	0.5	1	3 	 2.3473426454119406 	 3 	 2.0	0.0	0.0	0	1	-1	-1	-0.0	-999	-999	1.6765 	2.9001 	-999	-999	1.575 	2.2971 	3.1055 	-999	2.2053 	3.0862 	-999	-999	133
27	L_1	circle	4	0.2	1	3 	 2.5691725954181206 	 3 	 3.0	0.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.3337 	3.6021 	-999	-999	2.49 	3.7028 	-999	-999	2.1278 	2.8753 	-999	-999	146
28	L_1	circle	8	0.3	-1	3 	 2.3775685354024345 	 2 	 1.0	1.0	7.0	1	-1	1	-1	-999	0.0	-999	1.5437 	2.3596 	3.3494 	-999	1.5993 	2.1596 	3.0758 	-999	1.6007 	2.1681 	3.353 	-999	104
29	L_1	circle	8	0.3	1	0 	 2.038534656396701 	 3 	 2.0	2.0	0.0	1	1	-1	-1	-999	-2.0	-999	2.1949 	-999	-999	-999	1.7859 	2.4177 	-999	-999	2.2555 	-999	-999	-999	87
30	L_1	circle	8	0.3	1	3 	 2.326505171614095 	 2 	 7.0	6.0	7.0	1	1	-1	-1	-999	-0.0	-999	1.7492 	3.154 	-999	-999	2.4965 	-999	-999	-999	1.9776 	2.6564 	-999	-999	102
31	L_1	circle	4	0.5	1	3 	 2.522049171187321 	 2 	 2.0	1.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.4195 	3.8394 	-999	-999	1.7512 	3.0646 	-999	-999	2.4687 	3.3773 	-999	-999	133
32	L_1	circle	8	0.4	-1	3 	 2.7746984060993825 	 2 	 1.0	1.0	0.0	2	-1	1	-1	-999	-999	0.0	2.3 	3.5555 	-999	-999	1.9069 	2.9392 	-999	-999	2.0849 	3.1432 	-999	-999	122
33	L_1	circle	8	0.3	-1	3 	 2.777042681032252 	 2 	 5.0	4.0	7.0	0	-1	1	-1	-0.0	-999	-999	1.5587 	2.6148 	3.5426 	-999	2.2467 	2.8272 	3.4097 	-999	2.1782 	3.4074 	-999	-999	119
34	L_1	circle	4	0.5	1	3 	 2.3727049589068923 	 3 	 2.0	2.0	0.0	2	1	-1	-1	-999	-999	0.0	1.5116 	2.0635 	2.9023 	-999	1.8137 	3.312 	-999	-999	1.6418 	2.6751 	-999	-999	136
35	L_1	circle	8	0.3	1	0 	 2.0380964969376465 	 3 	 6.0	1.0	0.0	0	1	-1	-1	3.0	-999	-999	1.5138 	2.0198 	2.5959 	-999	1.6936 	2.5003 	-999	-999	1.866 	2.598 	-999	-999	83
36	L_1	circle	4	0.2	-1	0 	 2.678635699831623 	 3 	 1.0	0.0	0.0	2	-1	1	-1	-999	-999	-1.0	2.0432 	3.3933 	-999	-999	2.4767 	3.7282 	-999	-999	1.5052 	2.4295 	2.9517 	-999	147
37	L_1	circle	4	0.5	-1	3 	 2.2764414025459554 	 2 	 1.0	1.0	3.0	0	-1	1	-1	0.0	-999	-999	1.9578 	3.3145 	-999	-999	1.7131 	2.5758 	-999	-999	1.5315 	2.4406 	-999	-999	130
38	L_1	circle	8	0.4	1	3 	 2.448774798688175 	 2 	 1.0	1.0	7.0	2	1	-1	-1	-999	-999	0.0	1.6039 	2.1354 	3.4584 	-999	2.3721 	3.5665 	-999	-999	2.2085 	2.8002 	-999	-999	105
39	L_1	circle	4	0.2	1	3 	 2.6227074442307985 	 3 	 3.0	3.0	0.0	2	1	-1	-1	-999	-999	0.0	1.5211 	2.0608 	2.8495 	-999	2.2804 	2.8024 	-999	-999	1.5187 	2.9606 	-999	-999	142
40	L_1	circle	8	0.4	1	3 	 2.4587286557321386 	 3 	 0.0	6.0	2.0	0	1	-1	-1	-0.0	-999	-999	1.9915 	3.3868 	-999	-999	1.649 	2.6978 	-999	-999	1.9546 	2.6371 	-999	-999	102
41	L_1	circle	4	0.2	-1	3 	 2.66370660103 	 2 	 3.0	3.0	3.0	1	-1	1	-1	-999	-0.0	-999	1.5109 	2.8612 	-999	-999	1.7508 	2.8909 	-999	-999	1.8903 	3.1647 	-999	-999	151
42	L_1	circle	4	0.5	1	3 	 2.2707061718314874 	 2 	 1.0	1.0	3.0	2	1	-1	-1	-999	-999	0.0	1.8263 	2.544 	-999	-999	2.0758 	3.1134 	-999	-999	1.668 	2.6216 	-999	-999	123
43	L_1	circle	8	0.4	-1	3 	 2.6528337182051565 	 3 	 5.0	7.0	1.0	1	-1	1	-1	-999	0.0	-999	1.6343 	2.5438 	3.3667 	-999	1.5057 	2.5064 	3.2596 	-999	2.4795 	3.2853 	-999	-999	110
44	L_1	circle	8	0.3	-1	3 	 2.0938560645314563 	 3 	 7.0	5.0	4.0	2	-1	1	-1	-999	-999	0.0	1.5639 	2.4557 	-999	-999	1.7712 	3.1363 	-999	-999	1.888 	3.376 	-999	-999	88
