trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	yu1	circle	4	0.3	1	0 	 2.181180014813204 	 3 	 0.0	3.0	0.0	1	1	-1	-1	-999	1.0	-999	2.4817 	-999	-999	-999	2.0325 	3.4921 	-999	-999	2.3699 	-999	-999	-999	57
1	yu1	circle	8	0.7	1	0 	 2.737938254516216 	 3 	 4.0	0.0	5.0	1	1	-1	-1	-999	1.0	-999	1.8257 	3.2545 	-999	-999	1.941 	2.6233 	3.505 	-999	1.7561 	2.483 	3.9391 	-999	150
2	yu1	circle	4	0.5	-1	0 	 2.656580474847068 	 3 	 3.0	0.0	3.0	1	-1	1	-1	-999	-2.0	-999	1.8541 	2.7139 	3.5213 	-999	1.507 	2.9703 	-999	-999	1.6396 	2.8583 	-999	-999	74
3	yu1	circle	4	0.3	-1	3 	 2.37600747445009 	 3 	 1.0	0.0	3.0	0	-1	1	-1	0.0	-999	-999	2.0328 	2.7016 	-999	-999	1.747 	2.6008 	-999	-999	2.1918 	2.9882 	-999	-999	67
4	yu1	circle	4	0.5	-1	3 	 2.579998239762382 	 2 	 3.0	3.0	-999.0	0	-1	1	-1	0.0	-999	-999	1.5698 	2.664 	3.4296 	-999	1.788 	2.5212 	3.7296 	-999	1.8307 	2.465 	3.9231 	-999	73
5	yu1	circle	4	0.3	-1	3 	 2.352019708161362 	 2 	 2.0	2.0	-999.0	1	-1	1	-1	-999	0.0	-999	2.2356 	3.3781 	-999	-999	2.482 	-999	-999	-999	2.1376 	3.2001 	-999	-999	66
6	yu1	circle	8	1.1	1	0 	 2.2807304747473958 	 2 	 5.0	2.0	-999.0	0	1	-1	-1	1.0	-999	-999	2.1067 	3.5183 	-999	-999	1.9417 	2.5791 	-999	-999	2.2521 	3.642 	-999	-999	125
7	yu1	circle	4	0.3	1	3 	 2.6772728661345244 	 2 	 1.0	1.0	-999.0	0	1	-1	-1	-0.0	-999	-999	1.7323 	3.0883 	-999	-999	2.1661 	3.3896 	-999	-999	2.4601 	3.5589 	-999	-999	74
8	yu1	circle	8	1.1	-1	0 	 2.550746186920702 	 2 	 3.0	2.0	3.0	2	-1	1	-1	-999	-999	3.0	1.5292 	2.3259 	3.7415 	-999	2.287 	3.7159 	-999	-999	1.7005 	2.5668 	3.1781 	-999	139
9	yu1	circle	8	0.7	-1	3 	 2.7249234043076487 	 2 	 7.0	5.0	-999.0	1	-1	1	-1	-999	-0.0	-999	1.6781 	2.5013 	3.9581 	-999	1.9042 	2.9379 	-999	-999	2.4373 	3.7901 	-999	-999	148
10	yu1	circle	4	0.5	1	3 	 2.171602625717349 	 2 	 3.0	3.0	0.0	0	1	-1	-1	0.0	-999	-999	2.2742 	-999	-999	-999	2.3955 	-999	-999	-999	2.0282 	2.8223 	-999	-999	59
